first_name,known_name,second_name,web_name
Fabian,,Schär,Schär
Sven,,Botman,Botman
Dan,,Burn,Burn
Tino,,Livramento,Livramento
Kieran,,Trippier,Trippier
Emil,,Krafth,Krafth
Jamaal,,Lascelles,Lascelles
Alex,Alex Murphy,Murphy,A.Murphy
Harrison,,Ashby,Ashby
Miodrag,,Pivaš,Pivas
Matt,,Targett,Targett
Anthony,,Gordon,Gordon
Anthony,,Elanga,Elanga
Harvey,,Barnes,Barnes
Bruno,Bruno Guimarães,Guimarães Rodriguez Moura,Bruno G.
Jacob,Jacob Murphy,Murphy,J.Murphy
Joelinton Cássio,Joelinton,Apolinário de Lira,Joelinton
Sandro,,Tonali,Tonali
Antoñito,,Cordero Campillo,Antoñito C.
Joe,,Willock,Willock
Isaac,,Hayden,Hayden
Garang,,Kuol,Kuol
Lewis,,Miley,L.Miley
Joe,,White,White
William,,Osula,Osula
Sean,,Neave,Neave
Aaron,,Ramsdale,Ramsdale
Malick,,Thiaw,Thiaw
Seung-Soo,Park Seung-Soo,Park,Seung soo
Nick,,Woltemade,Woltemade
John,,Ruddy,Ruddy
Leo,,Shahar,Shahar
Sam,,Alabi,Alabi
Oleksandr,,Zinchenko,Zinchenko
Stefan,,Ortega Moreno,Ortega Moreno
James,,McAtee,McAtee
Matz,,Sels,Sels
Carlos Miguel,,dos Santos Pereira,C.Miguel
Matt,,Turner,Turner
Nikola,,Milenković,Milenković
Murillo,Murillo,Costa dos Santos,Murillo
Ola,,Aina,Aina
Neco,,Williams,N.Williams
David,,Mota Veiga Teixeira do Carmo,David Carmo
Jair,Jair Cunha,Paula da Cunha Filho,Jair Cunha
Felipe,Morato,Rodrigues da Silva,Morato
Omar,,Richards,O.Richards
Zach,,Abbott,Abbott
Willy,,Boly,Boly
Morgan,,Gibbs-White,Gibbs-White
Callum,,Hudson-Odoi,Hudson-Odoi
Elliot,,Anderson,Anderson
João Pedro,,Ferreira da Silva,Jota
Nicolás,,Domínguez,Dominguez
Lewis,,O'Brien,O'Brien
Ibrahim,,Sangaré,Sangaré
Ryan,,Yates,Yates
Eric,,da Silva Moreira,Da Silva Moreira
Marko,,Stamenić,Stamenic
Chris,,Wood,Wood
Igor Jesus,Igor Jesus,Maciel da Cruz,Igor Jesus
Taiwo,,Awoniyi,Awoniyi
Dan,,Ndoye,Ndoye
Angus,,Gunn,Gunn
Omari,,Hutchinson,Hutchinson
Arnaud,,Kalimuendo,Kalimuendo
John Victor,John Victor,Maciel Furtado,John
Nicolò,,Savona,Savona
Luis Eduardo,,Soares da Silva,Cuiabano
Dilane,,Bakwa,Bakwa
